"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\main.py", "Python", 23, 0, 2, 25
"c:\Users\adamo\Documents\GitHub\Omega\src\quiz.py", "Python", 12, 0, 1, 13
"c:\Users\adamo\Documents\GitHub\Omega\src\quizGUI.py", "Python", 37, 0, -4, 33
"c:\Users\adamo\Documents\GitHub\Omega\src\quizUI.py", "Python", -2, 0, 0, -2
"c:\Users\adamo\Documents\GitHub\Omega\src\test_auth.py", "Python", -81, 0, -11, -92
"c:\Users\adamo\Documents\GitHub\Omega\src\test_authUI.py", "Python", -36, 0, -5, -41
"c:\Users\adamo\Documents\GitHub\Omega\src\test_main.py", "Python", -36, 0, -5, -41
"c:\Users\adamo\Documents\GitHub\Omega\src\test_main2.py", "Python", -64, 0, -11, -75
"c:\Users\adamo\Documents\GitHub\Omega\src\test_main3.py", "Python", -92, 0, -14, -106
"c:\Users\adamo\Documents\GitHub\Omega\src\test_main4.py", "Python", -123, 0, -21, -144
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_algorithms.py", "Python", 29, 0, 7, 36
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_frequency_analyzer.py", "Python", 23, 0, 5, 28
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_main.py", "Python", 36, 0, 6, 42
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_main2.py", "Python", 64, 0, 11, 75
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_main3.py", "Python", 92, 0, 14, 106
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_main4.py", "Python", 123, 0, 21, 144
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_main5.py", "Python", 92, 0, 18, 110
"Total", "-", 97, 0, 14, 111
