"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\test_main.py", "Python", 36, 0, 5, 41
"c:\Users\adamo\Documents\GitHub\Omega\src\test_main2.py", "Python", 64, 0, 11, 75
"c:\Users\adamo\Documents\GitHub\Omega\src\test_main3.py", "Python", 92, 0, 14, 106
"c:\Users\adamo\Documents\GitHub\Omega\src\test_main4.py", "Python", 123, 0, 21, 144
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_main.py", "Python", -188, 0, -31, -219
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_main2.py", "Python", -62, 0, -11, -73
"Total", "-", 65, 0, 9, 74
