"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\main.py", "Python", 24, 0, -1, 23
"c:\Users\adamo\Documents\GitHub\Omega\src\test_work_with_txt.py", "Python", -47, -3, -17, -67
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_main6.py", "Python", 64, 0, 9, 73
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_work_with_txt.py", "Python", 85, 11, 38, 134
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_work_with_txtGUI.py", "Python", 76, 0, 13, 89
"c:\Users\adamo\Documents\GitHub\Omega\src\work_with_txtGUI.py", "Python", -2, 0, 0, -2
"c:\Users\adamo\Documents\GitHub\Omega\src\work_with_txtUI.py", "Python", -2, 0, 0, -2
"Total", "-", 198, 8, 42, 248
