"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\algorithms.py", "Python", 7, 0, 5, 12
"c:\Users\adamo\Documents\GitHub\Omega\src\compression.py", "Python", 31, 8, 10, 49
"c:\Users\adamo\Documents\GitHub\Omega\src\frequency_analyzer.py", "Python", 7, 0, 3, 10
"c:\Users\adamo\Documents\GitHub\Omega\src\game_text.py", "Python", 300, 9, 48, 357
"c:\Users\adamo\Documents\GitHub\Omega\src\log_manager.py", "Python", 19, 0, 6, 25
"c:\Users\adamo\Documents\GitHub\Omega\src\main.py", "Python", 23, 1, 3, 27
"c:\Users\adamo\Documents\GitHub\Omega\src\math_tests.py", "Python", 80, 0, 12, 92
"c:\Users\adamo\Documents\GitHub\Omega\src\todolist.py", "Python", 81, 8, 9, 98
"c:\Users\adamo\Documents\GitHub\Omega\src\user_interface.py", "Python", 60, 1, 7, 68
"Total", "-", 608, 27, 103, 738
