"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\algorithms.py", "Python", 13, 1, 5, 19
"c:\Users\adamo\Documents\GitHub\Omega\src\compressionGUI.py", "Python", 112, 4, 32, 148
"c:\Users\adamo\Documents\GitHub\Omega\src\compressionUI.py", "Python", 89, 10, 20, 119
"c:\Users\adamo\Documents\GitHub\Omega\src\frequency_analyzer.py", "Python", 11, 1, 6, 18
"c:\Users\adamo\Documents\GitHub\Omega\src\log_manager.py", "Python", 26, 0, 4, 30
"c:\Users\adamo\Documents\GitHub\Omega\src\main.py", "Python", 118, 0, 15, 133
"c:\Users\adamo\Documents\GitHub\Omega\src\math_tests.py", "Python", 73, 0, 7, 80
"c:\Users\adamo\Documents\GitHub\Omega\src\math_testsGUI.py", "Python", 115, 2, 43, 160
"c:\Users\adamo\Documents\GitHub\Omega\src\math_testsUI.py", "Python", 31, 0, 3, 34
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_algorithms.py", "Python", 32, 0, 8, 40
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_compressionGUI.py", "Python", 79, 0, 11, 90
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_compressionUI.py", "Python", 53, 12, 15, 80
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_frequency_analyzer.py", "Python", 24, 6, 7, 37
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_log_manager.py", "Python", 28, 3, 8, 39
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_math_tests.py", "Python", 36, 0, 5, 41
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_math_testsGUI.py", "Python", 58, 0, 10, 68
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_math_testsUI.py", "Python", 57, 0, 4, 61
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_todolist.py", "Python", 56, 24, 26, 106
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_todolistGUI.py", "Python", 45, 12, 20, 77
"c:\Users\adamo\Documents\GitHub\Omega\src\tests\test_todolistUI.py", "Python", 48, 14, 15, 77
"c:\Users\adamo\Documents\GitHub\Omega\src\todolist.py", "Python", 57, 1, 10, 68
"c:\Users\adamo\Documents\GitHub\Omega\src\todolistGUI.py", "Python", 83, 5, 18, 106
"c:\Users\adamo\Documents\GitHub\Omega\src\todolistUI.py", "Python", 65, 1, 9, 75
"Total", "-", 1309, 96, 301, 1706
