"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\compressionGUI.py", "Python", 79, 1, 18, 98
"c:\Users\adamo\Documents\GitHub\Omega\src\main.py", "Python", 14, -1, 2, 15
"c:\Users\adamo\Documents\GitHub\Omega\src\math_testsGUI.py", "Python", -4, 2, 0, -2
"c:\Users\adamo\Documents\GitHub\Omega\src\todolistUI.py", "Python", -2, 0, -1, -3
"c:\Users\adamo\Documents\GitHub\Omega\src\user_interface.py", "Python", 0, 0, 1, 1
"Total", "-", 87, 2, 20, 109
