"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adamo\Documents\GitHub\Omega\src\algorithms.py", "Python", 0, 1, 0, 1
"c:\Users\adamo\Documents\GitHub\Omega\src\compression.py", "Python", -31, -8, -10, -49
"c:\Users\adamo\Documents\GitHub\Omega\src\compressionGUI.py", "Python", 14, 1, 6, 21
"c:\Users\adamo\Documents\GitHub\Omega\src\compressionUI.py", "Python", 0, -1, 0, -1
"c:\Users\adamo\Documents\GitHub\Omega\src\frequency_analyzer.py", "Python", 0, 1, 0, 1
"c:\Users\adamo\Documents\GitHub\Omega\src\main.py", "Python", 18, -2, 2, 18
"Total", "-", 1, -8, -2, -9
